Specimen_ID,Haul_ID
1,1
2,1
3,2
4,3
15,15
16,15
17,15
18,15
19,16
20,17
21,18
22,19
23,20
24,20
25,20
26,21
27,22
28,23
29,24
30,25
31,26
32,27
33,28
34,29
35,30
36,31
37,32
38,33
39,34
40,35
41,36
42,37
43,38
44,39
45,40
46,41
47,42
48,43
49,44
50,45
51,46
52,46
53,47
54,48
55,48
56,50
57,51
58,52
59,54
60,55
61,56
62,57
63,58
64,59
65,60
66,61
67,62
68,63
69,64
70,65
71,66
72,67
73,68
74,69
75,70
76,71
77,72
78,73
79,74
80,75
81,76
82,77
83,78
84,79
85,80
86,81
87,82
88,83
89,84
90,85
91,86
92,87
93,88
94,89
95,90
96,91
97,92
98,93
99,94
100,95
101,96
102,97
103,98
104,99
105,100
106,101
107,102
108,103
109,104
110,105
111,106
112,107
113,108
114,109
115,110
116,111
117,112
118,113
119,114
120,115
121,116
122,117
123,118
124,119
125,120
126,121
127,122
128,123
129,124
130,125
131,126
132,127
133,128
134,129
135,130
136,131
137,132
138,133
139,134
140,117
141,135
142,136
143,136
144,136
145,137
146,138
147,139
148,129
149,140
150,141
151,142
152,143
153,144
154,145
155,146
156,147
157,148
158,149
159,150
160,151
161,152
162,151
163,153
164,151
165,154
166,93
167,155
168,156
169,157
170,158
171,159
172,160
173,161
174,162
175,163
182,164
183,164
184,165
185,166
186,167
187,168
188,169
189,171
190,172
191,173
192,174
193,174
194,175
195,176
196,175
197,174
198,174
199,174
200,177
201,178
202,178
203,178
204,178
205,178
206,178
207,178
208,178
209,178
210,178
211,178
212,178
213,179
214,179
215,179
216,179
217,179
218,179
219,179
220,180
221,175
222,181
223,182
224,183
225,184
226,185
227,186
228,187
229,182
230,188
231,
232,
233,
234,
235,189
236,190
237,191
238,192
239,193
240,194
241,195
242,188
243,196
244,199
245,200
246,201
247,201
248,202
249,202
250,203
251,204
252,205
253,206
254,207
255,208
256,209
257,210
258,211
259,212
260,213
261,214
262,215
263,216
264,217
265,218
266,219
267,220
268,221
269,222
270,223
271,224
272,225
273,226
274,227
275,228
276,229
277,230
278,229
279,231
280,232
281,281
282,234
283,235
284,236
285,237
286,238
287,239
288,240
289,241
290,242
291,243
292,244
293,245
294,246
295,247
296,248
297,249
298,250
299,251
300,252
301,253
302,253
303,253
304,254
305,254
306,254
307,254
308,254
309,252
310,252
311,246
312,255
313,256
314,245
315,177
